,Nbrhood,Nbr_latitude,Nbr_longitude,Borough_name,venue.name,venue.location.lat,venue.location.lng,venue_category
0,Abbey Wood,51.4515624,0.0666999,"Bexley, Greenwich ",Eltham Park South,51.455424234289886,0.06643295288085938,Park
1,Abbey Wood,51.4515624,0.0666999,"Bexley, Greenwich ","Green Chain Walk, Eltham",51.449917,0.067186,Trail
2,Abbey Wood,51.4515624,0.0666999,"Bexley, Greenwich ",Eltham Park South Cafe,51.45547771736147,0.06767749786376953,Café
3,Abbey Wood,51.4515624,0.0666999,"Bexley, Greenwich ",J&S Accessories Ltd,51.450726830761866,0.05981882094570819,Motorcycle Shop
4,Abbey Wood,51.4515624,0.0666999,"Bexley, Greenwich ",Eltham Bus Stop P,51.4507726550399,0.05965297280307246,Bus Stop
5,Abbey Wood,51.4515624,0.0666999,"Bexley, Greenwich ",Say's sugarcraft,51.4507107925206,0.059681832790374756,Hobby Shop
6,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",St Paul's Hotel,51.49363863195706,-0.21549449909163323,Hotel
7,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",M&S Simply Food,51.49065,-0.21819636,Grocery Store
8,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Latymers,51.49310955988226,-0.21662921502968402,Pub
9,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The Melody Restaurant,51.4935293,-0.2153599,Cocktail Bar
10,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Queen's Club,51.48735994059355,-0.21255785455030968,Tennis Stadium
11,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",L'Elysee,51.49496662542406,-0.2117374925961278,Bakery
12,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Pret A Manger,51.4944688,-0.2125084,Sandwich Place
13,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Queen’s Club Real Tennis,51.48731223161666,-0.21266916161053445,Tennis Court
14,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Cumberland Arms,51.494483932386345,-0.21036351411388785,Bar
15,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The W14 Hotel Kensington London,51.491705128422055,-0.21055887529829082,Hotel
16,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The Curtains Up,51.48935988428107,-0.2093974802544377,Pub
